setting,state,model,citl,cal_int,cal_slope,ici,meanp,prev,auc,prauc,nll,brier
SriLanka,recal,full,0.0329923182216899,-0.047635542300865315,0.8720556500816523,0.027039339923792607,0.33082877035788727,0.33647478349465104,0.7511644903456783,0.6524483876779966,0.5405849578750365,0.17865620435419238
SriLanka,recal,no_climate,0.019578424859405197,-0.017726450343320137,0.9406338044629474,0.04533470589586149,0.33281854638465797,0.33647478349465104,0.7237270084171097,0.6362721454214402,0.5612846377895793,0.18653443449394244
SriLanka,raw,full,0.4397769755896178,0.5190791059252208,1.0773916439953812,0.07407854298766345,0.2623962405074283,0.33647478349465104,0.7715108515767006,0.6673934971609026,0.5405680895878487,0.18008700960541357
SriLanka,raw,no_climate,0.5131934733293563,0.7907986936192605,1.246620642488798,0.0908957711810621,0.24557901231384974,0.33647478349465104,0.7512932243211317,0.6514768660701834,0.56614950208679,0.19075494251965996
Colombia,recal,full,-0.5048748410235245,-0.5084130507814694,1.1601373854519192,0.10937238862825906,0.48471854535305514,0.37534615672479604,0.7254819772649461,0.6077584032376322,0.6161648146742598,0.212669811773412
Colombia,recal,no_climate,-0.5103337028803836,-0.5151747440623254,1.2040917191466793,0.11277198408097834,0.48811814080585825,0.37534615672479604,0.7133704565670351,0.5967098321157194,0.6251084691482117,0.21694300642432465
Colombia,raw,full,0.2624511138184298,0.44164441038395635,1.2401949514706316,0.05499203834107951,0.3218483210056274,0.37534615672479604,0.7254819772649461,0.6077584032376322,0.597125970668633,0.2053295737901937
Colombia,raw,no_climate,0.29891018992226853,0.44728086631346076,1.188911277128362,0.060940276530890305,0.31450707712303033,0.37534615672479604,0.7133704565670351,0.5967098321157194,0.6056684976998086,0.20897361391232117
