model,C,nfeat,AUC,NB,Brier,CITL,slope
M1,0.01,4,0.6851881451260883,0.1170571065040042,0.22185498988409916,-0.46111727715054684,1.092824886997096
M4,0.01,22,0.6987365246699393,0.12929956055470612,0.2167912454281534,-0.44517119519099224,1.044972242685773
M5,0.01,58,0.7254819772649461,0.1358324334149497,0.212669811773412,-0.5048748410235245,1.1601373854519212
M5_no_climate_matched,0.1,40,0.7133704565670351,0.12800581650218654,0.21694300642432465,-0.5103337028803838,1.2040917191466989
