dNB_M5_M1,dNB_M4_M1,dNB_nonclimate_matched_M1,dNB_climate_M5_matched,dAUC_M5_M1
0.024220660146699297,0.015444900454069155,0.012945337059029033,0.011275323087670264,0.04481574903146357
0.013334321060819304,0.012858095308647177,0.008074672197940613,0.005259648862878691,0.019858085998516795
0.021479258463731193,0.015025443887946577,0.012646666198271622,0.008832592265459571,0.04183580350718674
0.024349238945242407,0.01356245839304046,0.015943222719938616,0.008406016225303792,0.036611952101274436
0.021819560739138905,0.015270617896344263,0.01433798284361451,0.007481577895524394,0.04327128610654574
0.019264595024708925,0.012527969559546742,0.010816890622569492,0.008447704402139433,0.03675275982926607
0.021136559849677494,0.013457924940328075,0.011893758569905044,0.00924280127977245,0.0438141605669935
0.013516388761352333,0.010526433666670387,0.007525280238300541,0.005991108523051791,0.03713678380448526
0.015398900376626223,0.009013990464366572,0.01067281509843404,0.0047260852781921825,0.037304516613790084
0.02046054038639769,0.012944423509761827,0.01260833698275779,0.007852203403639901,0.05568033184816901
0.01656647943150588,0.01279987736644439,0.010303408555880411,0.0062630708756254705,0.027384160877118147
0.02040086629617524,0.014118175874468786,0.011114743380189612,0.009286122915985628,0.04290877852410502
0.016476129827859842,0.012392475563776761,0.009319626810605386,0.007156503017254456,0.03921004093779901
0.016874645490640966,0.01578073089700996,0.006715420144234707,0.010159225346406259,0.0373530928706709
0.02326741698089671,0.015706705813496036,0.012722719553265538,0.010544697427631172,0.04597635745044326
0.014961428457480191,0.009526088492348372,0.008842397930696605,0.0061190305267835865,0.04153853113269124
0.019588956711653727,0.015321722573780588,0.010472083776670221,0.009116872934983505,0.05377939640193741
0.02163498686447224,0.01004481532993351,0.01294787734287034,0.008687109521601899,0.03249919663265355
0.022761945444559728,0.013364252151095407,0.01465592644575986,0.008106018998799869,0.04348666156846681
0.01705029838022168,0.012079139956377827,0.009078730306351757,0.007971568073869922,0.03499651527674663
0.025242761593671587,0.01581005710730396,0.013210230429082537,0.01203253116458905,0.05230592990850369
0.011341252919078115,0.008274951771753525,0.007462686567164228,0.003878566351913887,0.032415065576326785
0.024061423130403242,0.011678052515970427,0.013270056223928434,0.010791366906474809,0.058537520481724004
0.02611542561291308,0.01490134655963804,0.014770823816049966,0.011344601796863113,0.04983627271798696
0.017809953143390095,0.013646154871088834,0.01013746086029621,0.007672492283093885,0.031270869292271075
0.01772634947990398,0.014453950472907817,0.007191071172113844,0.010535278307790136,0.03349435049837868
0.016265298065534978,0.013592013986802792,0.010332186565901569,0.005933111499633409,0.03292964244521335
0.017931858936042988,0.01271719191211329,0.010810643691901795,0.0071212152441411936,0.0422731210951075
0.021550684988941582,0.013049904091066294,0.011414735385679692,0.01013594960326189,0.039516847602917515
0.013642098060598268,0.010124660551243392,0.006660679538991188,0.00698141852160708,0.04302584661642539
0.019258233435755362,0.012734236378586533,0.009336997446661194,0.009921235989094168,0.05044771084298816
0.019153556862121945,0.012362942952486883,0.01158959690661579,0.007563959955506155,0.040422367361925615
0.010106753929510243,0.00889437261949469,0.007113352287967417,0.0029934016415428255,0.01954598406097474
0.021616331393678995,0.011988979075135936,0.013393189579055997,0.008223141814622997,0.03654752272319861
0.016921258199856293,0.015437750631649705,0.006675784056929646,0.010245474142926647,0.03703043251537108
0.024501338181083715,0.01264454880573651,0.016401555319901034,0.00809978286118268,0.05580511055209825
0.013024727686711923,0.01135563295352593,0.0066956748256134235,0.0063290528610985,0.02731200173530679
0.015476190476190504,0.008390022675736991,0.010510204081632668,0.004965986394557836,0.020741284836251817
0.021353575482406295,0.012577022863628967,0.013245905626722843,0.008107669855683453,0.05649855341609167
0.018775336035843804,0.014426935698537952,0.010647484938075963,0.008127851097767841,0.0416470717773163
0.02070780809804848,0.014847107692940453,0.011669991157539694,0.009037816940508786,0.03586529648311032
0.014327478595791088,0.008631290749205323,0.009269356597600864,0.005058121998190224,0.03325548169894321
0.017205607003694168,0.01345073629877036,0.010647234451697796,0.006558372551996372,0.046941876754399536
0.016995171826185707,0.010122124396478221,0.010292530531099103,0.006702641295086603,0.025741934904730868
0.01642622780063538,0.013561793656580418,0.008291234831519195,0.008134992969116184,0.035829373859065594
0.019663757758995842,0.009436771341533284,0.011555463936416294,0.008108293822579549,0.05045344410375352
0.02017744557058998,0.014100400650150585,0.012423260484714205,0.0077541850858757755,0.05977040924851185
0.01709877191140971,0.014023302193765103,0.009583289597984684,0.007515482313425026,0.0374041022848457
0.022957194503235467,0.015250787349745332,0.0138836848980749,0.009073509605160568,0.04408896706635057
0.019728495305759958,0.012782288759198124,0.010424596126194674,0.009303899179565284,0.03772073335868731
0.017928367928367966,0.012606837606837645,0.008608058608058605,0.009320309320309361,0.034154970204322455
0.021873565127343425,0.010306659762995662,0.012133527417668821,0.009740037709674604,0.05528427903520616
0.02202998343937937,0.01490455852871958,0.012365989714982983,0.009663993724396386,0.035889316710821184
0.011532451526289178,0.006899663270022255,0.008858419349869029,0.002674032176420149,0.03354133650752589
0.025700215450908004,0.016895308446555013,0.015521259288572314,0.01017895616233569,0.04649223944070102
0.014148790506617964,0.008543107584641108,0.009491041439923242,0.004657749066694722,0.03598828884780425
0.0177630811950866,0.011043634012697034,0.008754358631946041,0.009008722563140559,0.04344985632265741
0.014061620484934756,0.010089531314719041,0.0068715018532875816,0.007190118631647174,0.03278033421267257
