contrast,point,lo,med,hi
dNB_M5_M1,0.018775326910945495,0.011668481767822848,0.01825296806166468,0.02600557056007993
dNB_M4_M1,0.012242454050701929,0.007303439575339329,0.012105263157894744,0.01709934158183346
dNB_nonclimate_matched_M1,0.010948709998182343,0.006044956021366321,0.010730923924274077,0.01640211681412605
dNB_climate_M5_matched,0.007826616912763151,0.0039007848708495817,0.0076678035784174675,0.011936474914776372
dAUC_M5_M1,0.040293832138857844,0.023454678397019074,0.03977538763889654,0.05750760782024581
