dept,n,frac_cc,mean_cases
1,489.0,0.7832310838445807,8.740286298568508
10,4325.0,0.6864739884393064,7.220346820809248
11,2118.0,0.48158640226628896,2.9867799811142586
12,6184.0,0.625646830530401,6.222024579560156
13,900.0,0.3566666666666667,2.597777777777778
14,5223.0,0.575531303848363,4.946773884740571
15,6669.0,0.5804468436047383,4.5440095966411755
16,278.0,0.5107913669064749,4.66546762589928
17,918.0,0.7026143790849673,5.3845315904139435
18,7698.0,0.62457781241881,8.010522213561964
19,2846.0,0.6166549543218552,4.533731553056922
2,9376.0,0.5372226962457338,9.456591296928327
20,3235.0,0.6083462132921175,5.765687789799073
21,7761.0,0.6479835072799897,9.529828630331142
22,1011.0,0.5539070227497527,3.689416419386746
23,6114.0,0.6694471704285248,10.75204448806019
24,3243.0,0.6053037311131668,4.251927227875424
25,3061.0,0.7497549820320156,8.92453446586083
26,1975.0,0.6562025316455696,10.339746835443037
28,10029.0,0.6719513411107787,11.081064911755908
29,4474.0,0.5793473401877515,6.910371032632991
3,2313.0,0.669260700389105,5.462170341547774
30,10833.0,0.6506969445213698,7.974245361395735
31,10174.0,0.6874385689011205,16.591212895616277
32,83.0,0.5662650602409639,3.9759036144578315
33,551.0,0.3956442831215971,2.985480943738657
4,5269.0,0.6963370658568988,11.639400265705067
5,104.0,0.6730769230769231,3.0384615384615383
6,4929.0,0.5907892067356462,7.636640292148509
7,1849.0,0.5002704164413196,3.497566252028123
8,1654.0,0.5326481257557436,3.3784764207980653
9,2017.0,0.5508180466038671,4.717897868120971
