free,frozen
0.00971521578697293,0.010918244588897758
0.001805230288836862,0.0018540202966432218
0.007716356684854014,0.007328049703293593
0.007074769139112286,0.008564194221030719
0.007583725435925809,0.00868293068680559
0.0036385894514911477,0.00202332777910022
0.0021156339123670764,0.0031734508685507257
0.011653265778169358,0.01092631347064646
0.006237115020354317,0.004876670468934752
0.006450257639601109,0.006895102994056379
0.003236051416148217,0.003276126356286213
0.010190703218116826,0.010216243827685989
0.011145885916203913,0.01225643614336197
0.009331156798729395,0.008448777905232518
-0.0008994286727727063,0.0006840725116862845
0.0062106744513322765,0.0074783963898999994
0.007403043691703415,0.00896416298478156
0.006822670417140464,0.008643759137505064
0.0057790849973574365,0.005664192651485572
0.005640264172687426,0.0034129692832764458
0.008283344929389397,0.00763459260234306
0.010324258182930618,0.01044661976139491
0.010664046800339444,0.01090519358728173
0.007765910102358664,0.008177570093458014
0.002726774016586553,-0.0011455677821162191
0.004606717395982091,0.00414702372801784
0.0065515254888228736,0.004902348383015703
0.0033760054378611237,0.004542879800611771
2.7755575615628914e-17,0.00030181086519112665
0.010294748452723795,0.010250978263724148
0.013832730368163432,0.010670963426868935
0.006234435831784263,0.0058047771035740214
0.007890915977526641,0.0065652420933021705
0.0076979113435464985,0.007208637317473593
0.011823556161891735,0.012126724268606948
0.005999384678494507,0.004961029637985864
0.0047568510025395305,0.0036766099382177786
0.01419444891823693,0.014001181081226138
0.008372791315394423,0.007714516687839318
0.006155424467812226,0.005224511508173935
0.00888253390528182,0.009380822392651339
0.011631867124256623,0.011959340860862921
0.005894079916789474,0.006736091333473693
0.005312905417928004,0.0050216664166129465
0.004241519432882146,0.00433050235804755
0.016346744614697234,0.016868053098992725
0.006454445253974483,0.006370378673242527
0.007915230435337678,0.007033181295915875
0.0114933602547177,0.010195364936376045
0.014974222008165755,0.013595017349518929
0.010356464062681814,0.009813428493852056
0.001824678780506378,0.0017703728644198335
0.00354642175138678,0.00440120032736202
0.006227666004067461,0.006917075524812966
0.006832368446586273,0.006622141725152825
0.024740622505985688,0.023275783688767232
0.011940870020858751,0.012303630629087375
0.005679144049449331,0.0069655799943522945
0.007312153303076219,0.008200657973729097
0.015293837483131817,0.014605879395655275
0.003982484799860797,0.004407798710525573
0.01920196980972594,0.019156032082908364
0.004955108535060843,0.0037390612569610238
0.014556296036478455,0.015796462394147393
0.01039533784848004,0.008938415498503716
0.01101325552914062,0.010094733808803463
0.013488962192336973,0.01289012940877951
0.013319719150107934,0.013262356018539784
0.020997496987114145,0.019440066747010265
0.0008122838276909683,0.0014760856653740217
0.009123128545824505,0.008732329834112679
0.007490180803064211,0.008147498945044934
0.010809125396247982,0.009457984721716939
0.010585272205294427,0.010752593479754075
0.011669746183020552,0.01147525041330355
0.0013627874892744307,0.0017749886434376139
0.008908766624718234,0.007568830181163028
0.0050519225371878085,0.005008743712083624
0.0031703833356725997,0.002741060592300254
0.007731012036459622,0.007756639700668866
0.00875337648437896,0.006523622649202365
0.006688218582738936,0.006563538076536007
0.011537711946988882,0.010183200155915062
0.007705173308725943,0.006044177864928724
0.002597560551829581,0.002380373214720094
0.004364323918308155,0.005050701270445629
0.005784069221492355,0.005748943295046077
0.0020312708806628776,0.002552452225043411
0.007385725825910877,0.008466307871463186
0.015076379826514136,0.018407922008136984
0.010672760899527622,0.010908362685389111
0.02134832670910486,0.020960566990876894
0.007641301632717978,0.00839067148080025
0.014538824178592397,0.0118757722250879
0.00016462260268332307,-0.0015168796961537168
0.009396636993076135,0.009437009225055054
0.010037654205413055,0.009944038777590564
0.0059014896410022055,0.005262256720506869
0.007601767942977067,0.01177016741298098
0.007467837490653245,0.007391145963149659
0.011519352266454036,0.012672514261178935
0.012281397892128898,0.012494314167642545
0.007646072127481168,0.008135308918087808
0.011054931870768642,0.010015853972062727
0.007313124546418831,0.007246134092558476
0.011404482752131267,0.010312964600937141
0.008821161172469283,0.007054525351824881
0.011402186204297088,0.013046027557900935
0.005468493362447091,0.005497478309597903
0.004556726206210782,0.005374922900696133
0.011432492158540086,0.010505774165953802
0.0024330648334126848,0.001439131965295215
0.011874059180816188,0.01074770782235232
0.008581297063051024,0.009739772166562938
0.006746646597901584,0.007516933020496719
0.0023716196185645244,-0.0003733104955148392
0.012391883941870796,0.01418182273347432
-0.0003884098500738231,0.0015381030062922296
0.006284706813629692,0.006092807368938691
0.011260048554236207,0.01086330187698964
0.006019041652215729,0.0055491536421914955
0.0062019948995759855,0.006277444959181533
0.012526956438395603,0.012076484401207593
0.010512396694214887,0.010399055489964587
0.004674135859192796,0.004073301760090464
0.014015467325992542,0.013871718943161887
0.01303801141309599,0.011916046039268796
0.00037371261499904995,-0.000648501302498411
0.004943546556030298,0.005304766032984548
0.02482392835405617,0.02273715329101819
0.011129128995712723,0.011373481129351104
0.006814244956184989,0.008610148767067477
0.004482901366073322,0.0038569106347747795
0.01730086504325215,0.01689084454222714
0.0034425819364523325,0.004153114836127125
0.001983986395521914,0.0019030073589698937
0.003844171462932755,0.004252212009277556
0.01571474893459332,0.014614600704094899
0.010825760568945048,0.011164418355252032
0.010133096716947676,0.009405501330967153
0.007308568405825305,0.008085845991082918
0.005522169887932443,0.006113830947353738
0.008858149737491855,0.009661256682568953
0.01386876423100808,0.013109777133788747
0.01594188714535824,0.015887515088245818
0.007568847400392015,0.00745240359423216
0.006183495585238841,0.006041996830427915
0.016224961830321516,0.015359022856231391
0.010536784329523152,0.010637494335062198
0.012306409224473153,0.013082226984881207
0.006041335453100122,0.006711333181921436
0.012420005596223499,0.011779147749325286
0.013696161470535234,0.014919033030404483
0.01072635433469521,0.012351202741048561
0.007818895192931913,0.0073202171601697286
0.0039618556226102275,0.005055972727691566
0.008885371693028943,0.008154106604425698
0.022438428036573893,0.02182716552479433
0.008223616750748536,0.008838849924121234
0.008554083885209673,0.008869441816461682
0.013009572940088227,0.011618375833778283
0.01562643288153623,0.014168332630266123
0.011630662483293336,0.012578556736210472
0.010969899665551786,0.012986144290492135
-0.0004181747393617874,-0.002018774603815471
0.006928515022750381,0.0056405821080735
0.004676772032239873,0.005085851382577611
0.013564045157909793,0.01258752917639211
0.007454391564606422,0.006291873591466712
0.010565815164334524,0.01058615359583473
0.010099029316599617,0.01085073700035949
0.01530643322688155,0.015567486664520208
0.009647749510763165,0.009510763209393314
0.012806242097413906,0.012871083829552682
0.01619169295752612,0.016278604889665288
0.007390246970522818,0.007474107929053619
0.0005291397246356411,0.001132359010720424
0.0021892950244320475,0.002414995542414755
0.0034079754033080056,0.0041673612268711135
0.004480112197592423,0.004859947796953534
0.012826517744550542,0.010580676154446661
0.007195751678485018,0.005048547756957428
0.008428316882088394,0.008220908636667856
0.004332845504096627,0.00465550421184846
0.016125352580056374,0.015389082462253179
0.012804899572875866,0.013307917681527781
0.02354469432491685,0.023788260128278005
0.009014841507359705,0.009136993831307644
0.011311920402829467,0.01052482870664695
0.0035113307943711314,0.0025119520298192977
0.006856503183376467,0.007306273800361834
0.009090804213149423,0.007994831624000637
0.008174230068118571,0.007310755060922991
0.008958405026475574,0.009358036477470744
0.007770436160956656,0.006340400237765026
0.0034792542971387452,0.005387651243703634
0.0004471784132800971,0.0010252383133739496
0.010028668016152764,0.010439679000421337
0.01679307575622374,0.015597394485589361
0.004297924297924277,0.005067155067155105
0.00654777953241148,0.007192928398104953
0.008517068479978074,0.00836988411684475
0.007494691260357261,0.008275388266644451
0.01207068193130914,0.01245644599303139
0.007178311591176156,0.008402218574245529
0.0021549866390828676,0.0008004236088021699
0.0051461364466965365,0.007348801374937014
0.0018044857821052918,0.0011747323547934285
0.0033981242354220453,0.0033981242354220453
0.011037250721183972,0.010761319453154339
0.013000144446049328,0.011911984207231885
0.0050880626223092085,0.006243138752326849
0.014130111439097537,0.012310931099974831
0.007801703970490653,0.007355581428244967
0.008288752394161575,0.0087951038020386
0.014912410560078943,0.013856402664692846
0.008472209291499833,0.008339207575777718
0.008302908962430772,0.008145879951321044
0.003742634177416715,0.004413805656041658
0.016141351964594625,0.015523554916541199
0.017602819357651484,0.016122293271326832
0.008624531174570155,0.007612610939878917
0.018515979648417252,0.017739085397434712
0.019671835962997153,0.018839046568682655
0.004828610160738461,0.005138467497256494
0.01286048007032567,0.011875595204180522
0.002578319300887505,0.003068884477605144
0.01341794705410071,0.012483090087216625
0.0032805591213806995,0.0024858895205493448
0.01491558043915664,0.014994313708336982
0.007740505108926182,0.00623674571042987
0.007354979001001988,0.0059479395399407164
0.008469744125822659,0.008291558765531809
0.009740677436547746,0.010485012221793405
0.005281182615915092,0.005327306481556188
0.016822069466185696,0.01783162049955761
0.008943451302700661,0.008467295330566116
0.009202425927789332,0.009760425909494191
0.008462363235989229,0.007666854975385384
0.017177128818143372,0.01779649644379752
0.005689943709113077,0.006856331456970455
0.01978143588324799,0.01968262751220279
0.008618239572013714,0.00918665886483322
0.007754706980388576,0.008353881962528537
0.0007380952380952044,0.0009047619047618805
0.014596567103662639,0.015224065028092593
0.009897816068924092,0.008775796433580424
0.01063122923588039,0.010491908691458607
0.006852710465692774,0.005948735893622631
0.006760316066725253,0.004038630377524166
0.0009170049395999247,0.0036068860957598203
0.016967370441458768,0.017055113792157905
0.011291641119967277,0.011271203760474136
0.003042783378411573,0.00021514629948368724
0.009507073000349253,0.00828457911281874
